t_rel_s,rmssd_z,tempo,pitch,volume
0.0,-0.457648,1.0,-2.0,60.0
0.998,-0.932509,1.0,-2.0,60.0
1.995,-1.337251,1.0,-2.0,60.0
2.992,-0.760346,1.0,-2.0,60.0
3.99,-0.596758,1.0,-2.0,60.0
4.988,-0.934741,1.0,-2.0,60.0
5.985,-1.130433,1.0,-2.0,60.0
6.983,-1.163608,1.0,-2.0,60.0
7.98,-0.934741,1.0,-2.0,60.0
9.476,-1.341284,1.0,-2.0,60.0
9.975,-1.017176,1.0,-2.0,60.0
11.471,-0.868968,1.0,-2.0,60.0
11.97,-1.421997,1.0,-2.0,60.0
12.968,-1.256644,1.0,-2.0,60.0
13.965,-0.937644,1.0,-2.0,60.0
15.461,-1.400166,1.0,-2.0,60.0
15.96,-1.497418,1.0,-2.0,60.0
16.958,-1.454763,1.0,-2.0,60.0
17.955,-2.092308,1.0,-2.0,60.0
19.95,-2.200732,1.0,-2.0,60.0
19.952,-2.107632,1.0,-2.0,60.0
21.945,-1.967481,1.0,-2.0,60.0
21.948,-1.936297,1.0,-2.0,60.0
